address	kind	section	name	demangled
01e837c0	function	.text	StencilOp__Q34scee3Psp2GuQ44scee3Psp2Gu17EStencilOperationN21	scee::Psp::Gu::StencilOp(scee::Psp::Gu::EStencilOperation, scee::Psp::Gu::EStencilOperation, scee::Psp::Gu::EStencilOperation)
01e837b0	function	.text	AlphaFunc__Q34scee3Psp2GuQ44scee3Psp2Gu13ETestFunctionUcUc	scee::Psp::Gu::AlphaFunc(scee::Psp::Gu::ETestFunction, unsigned char, unsigned char)
01e83640	function	.text	ColorMaterial__Q34scee3Psp2GuUi	scee::Psp::Gu::ColorMaterial(unsigned int)
01e837e0	function	.text	SetMatrix__Q34scee3Psp2GuQ44scee3Psp2Gu11EMatrixTypePC14ScePspFMatrix4	scee::Psp::Gu::SetMatrix(scee::Psp::Gu::EMatrixType, ScePspFMatrix4 const *)
01e6f3d0	function	.text	MCPTRANS_FALL_SpeckEmitterUpdate__Fv	MCPTRANS_FALL_SpeckEmitterUpdate(void)
01e6f598	function	.text	MCPTRANS_FALL_StartSound__Fv	MCPTRANS_FALL_StartSound(void)
01e6f688	function	.text	_GLOBAL_$I$MCP_mcptrans_fall.cppQ4daaa	global constructors keyed to MCP_mcptrans_fall.cppQ4daaa
01e85bd8	function	.text	SYSTEM_SetClearColor__FUi	SYSTEM_SetClearColor(unsigned int)
01e83d90	function	.text	RotateX__Q34scee3Psp3Gumf	scee::Psp::Gum::RotateX(float)
01e6fe40	function	.text	MCPTRANS_DREAM_SpeckEmitterUpdate__Fv	MCPTRANS_DREAM_SpeckEmitterUpdate(void)
01e70008	function	.text	MCPTRANS_DREAM_StartSound__Fv	MCPTRANS_DREAM_StartSound(void)
01e700f8	function	.text	_GLOBAL_$I$MCP_mcptrans_dream.cpp72caaa	global constructors keyed to MCP_mcptrans_dream.cpp72caaa
01ef2590	data	.data	EngineParts	EngineParts
01e704b8	function	.text	RatchetShipExhaust_EmitParticles__FiUiUiP31RatchetShipExhaust_JointStoragef	RatchetShipExhaust_EmitParticles(int, unsigned int, unsigned int, RatchetShipExhaust_JointStorage *, float)
01e70580	function	.text	RatchetShipExhaust_EmitParticles__FiUiUifff	RatchetShipExhaust_EmitParticles(int, unsigned int, unsigned int, float, float, float)
01e72098	function	.text	_GLOBAL_$I$particles_RatchetShipExhaust.cppiQcaaa	global constructors keyed to particles_RatchetShipExhaust.cppiQcaaa
01e791d8	function	.text	VEC_MulMat4Vec3ZeroW__FP4VEC3PC7MATRIX4PC4VEC3	VEC_MulMat4Vec3ZeroW(VEC3 *, MATRIX4 const *, VEC3 const *)
01e7ce68	function	.text	PAR_Emit__FPiii	PAR_Emit(int *, int, int)
01e7c3c8	function	.text	PAR_CreateSystemInternal__FP10PAR_SystemUiPFPviPC9PAR_GroupPC29PAR_UpdateAndTesselateContext_iiiiPFP9PAR_Group_v	PAR_CreateSystemInternal(PAR_System *, unsigned int, int (*)(void *, int, PAR_Group const *, PAR_UpdateAndTesselateContext const *), int, int, int, void (*)(PAR_Group *))
01e7c5a0	function	.text	PAR_RegisterSystem__FPC10PAR_System	PAR_RegisterSystem(PAR_System const *)
01e72438	function	.text	ClankTransExhaust_EmitParticles__FiUiUiP30ClankTransExhaust_JointStorage	ClankTransExhaust_EmitParticles(int, unsigned int, unsigned int, ClankTransExhaust_JointStorage *)
01e724f0	function	.text	ClankTransExhaust_EmitParticles__FiUiUiff	ClankTransExhaust_EmitParticles(int, unsigned int, unsigned int, float, float)
01e73ee8	function	.text	_GLOBAL_$I$particles_ClankTransExhaust.cppBreaaa	global constructors keyed to particles_ClankTransExhaust.cppBreaaa
01e74288	function	.text	SkyboardTransExhaust_EmitParticles__FiUiUiP33SkyboardTransExhaust_JointStorage	SkyboardTransExhaust_EmitParticles(int, unsigned int, unsigned int, SkyboardTransExhaust_JointStorage *)
01e74340	function	.text	SkyboardTransExhaust_EmitParticles__FiUiUiff	SkyboardTransExhaust_EmitParticles(int, unsigned int, unsigned int, float, float)
01e75c98	function	.text	_GLOBAL_$I$particles_SkyboardTransExhaust.cppuceaaa	global constructors keyed to particles_SkyboardTransExhaust.cppuceaaa
01e77098	function	.text	_GLOBAL_$I$particles_GCS_STrek.cppIMdaaa	global constructors keyed to particles_GCS_STrek.cppIMdaaa
01e79338	function	.text	VEC_MulMat4Vec3__FP4VEC3PC8MATRIX43PC4VEC3	VEC_MulMat4Vec3(VEC3 *, MATRIX43 const *, VEC3 const *)
01e77140	function	.text	RIBBON_ClearInactiveJoints__FP20PAR_ParticleIteratorPC9PAR_Groupii	RIBBON_ClearInactiveJoints(PAR_ParticleIterator *, PAR_Group const *, int, int)
01e772c0	function	.text	_GLOBAL_$I$particles_Ribbon.cppJaeaaa	global constructors keyed to particles_Ribbon.cppJaeaaa
01e7ccb8	function	.text	PAR_CreateGroup__FP9PAR_Groupi13PAR_BlockMode	PAR_CreateGroup(PAR_Group *, int, PAR_BlockMode)
01e7cea0	function	.text	PAR_Emit__FPiP9PAR_Groupi	PAR_Emit(int *, PAR_Group *, int)
01e772e0	function	.text	Spiral_CreateGroup__FP12Spiral_Groupi	Spiral_CreateGroup(Spiral_Group *, int)
01e77300	function	.text	Spiral_EmitJoint__FP12Spiral_GroupPC12Spiral_Pointb	Spiral_EmitJoint(Spiral_Group *, Spiral_Point const *, bool)
01e77470	function	.text	_GLOBAL_$I$particles_Spiral.cpp5Bdaaa	global constructors keyed to particles_Spiral.cpp5Bdaaa
01f20368	data	.rodata	G_UpVector	G_UpVector
01e78c80	function	.text	VEC_MultiplyMatrix3__FP7MATRIX3PC7MATRIX3T1	VEC_MultiplyMatrix3(MATRIX3 *, MATRIX3 const *, MATRIX3 const *)
01e79130	function	.text	VEC_MulMat3Vec3__FP4VEC3PC7MATRIX3PC4VEC3	VEC_MulMat3Vec3(VEC3 *, MATRIX3 const *, VEC3 const *)
01e7ce30	function	.text	PAR_DestroyGroup__FP9PAR_Group	PAR_DestroyGroup(PAR_Group *)
01e78030	function	.text	SpiralSphere_RegisterSystem__F10DRAW_Layeri15DRAW_ZWriteMode17DRAW_ColorKeyMode14DRAW_BloomMode14DRAW_BlendMode	SpiralSphere_RegisterSystem(DRAW_Layer, int, DRAW_ZWriteMode, DRAW_ColorKeyMode, DRAW_BloomMode, DRAW_BlendMode)
01e78268	function	.text	_GLOBAL_$I$mobys_ShrinkBeam_ShrinkBeam.cpptqeaaa	global constructors keyed to mobys_ShrinkBeam_ShrinkBeam.cpptqeaaa
01f20328	data	.rodata	g_identityMatrix43	g_identityMatrix43
01f20358	data	.rodata	g_zeroVec3	g_zeroVec3
01e78410	function	.text	VEC_ConstructRotZMat3__FP7MATRIX3f	VEC_ConstructRotZMat3(MATRIX3 *, float)
01e784a8	function	.text	VEC_InverseMat4__FP7MATRIX4PC7MATRIX4	VEC_InverseMat4(MATRIX4 *, MATRIX4 const *)
01e794c0	function	.text	VEC_MakeMat3FromYawPitch__FP7MATRIX3ff	VEC_MakeMat3FromYawPitch(MATRIX3 *, float, float)
01e79d38	function	.text	Quat_ConvertToMatrixInternal__H1Z7MATRIX4_PX01PC4QUAT_v	void Quat_ConvertToMatrixInternal<MATRIX4>(MATRIX4 *, QUAT const *)
01e79e28	function	.text	_GLOBAL_$I$SHARED_Math_quat.cpp2seaaa	global constructors keyed to SHARED_Math_quat.cpp2seaaa
01e98698	function	.text	dpcmp	dpcmp
01e98108	function	.text	dpsub	dpsub
01ef2a9c	data	.data	g_draw_applyView	g_draw_applyView
01f203f8	data	.rodata	g_draw_vertSize	g_draw_vertSize
01f20420	data	.rodata	g_draw_vertAlign	g_draw_vertAlign
01e79e48	function	.text	DRAW_Reset__Fv	DRAW_Reset(void)
01f695b8	data	.bss	g_draw_endMesh	g_draw_endMesh
01e7a378	function	.text	DRAW_AllocNextMesh__FPviUiiiPC16DRAW_ExtMaterialUi	DRAW_AllocNextMesh(void *, int, unsigned int, int, int, DRAW_ExtMaterial const *, unsigned int)
01f695b0	data	.bss	g_draw_currentMesh	g_draw_currentMesh
01f695a8	data	.bss	g_draw_vertSpace	g_draw_vertSpace
01f695a0	data	.bss	g_draw_vertTail	g_draw_vertTail
01f695e0	data	.bss	g_draw_preRenderContextTail	g_draw_preRenderContextTail
01f695d8	data	.bss	g_draw_preRenderContextSpace	g_draw_preRenderContextSpace
01f695c0	data	.bss	g_draw_currentMaterial	g_draw_currentMaterial
01e7ad30	function	.text	DRAW_GetRenderContext__FUib	DRAW_GetRenderContext(unsigned int, bool)
01e7ad58	function	.text	DRAW_GetTextureSize__FPiT0i	DRAW_GetTextureSize(int *, int *, int)
01f695c8	data	.bss	g_draw_currentSortDepth	g_draw_currentSortDepth
01f695d0	data	.bss	g_draw_currentVertPerPrim	g_draw_currentVertPerPrim
01e7c070	function	.text	_GLOBAL_$I$ENGINE_draw.cppn8daaa	global constructors keyed to ENGINE_draw.cppn8daaa
01e8e1f0	function	.text	MEM_malloc_uncached__FUi12MEMAssetTypePcUi	MEM_malloc_uncached(unsigned int, MEMAssetType, char *, unsigned int)
01e8e238	function	.text	MEM_memalign__FUiUi12MEMAssetTypePcUi	MEM_memalign(unsigned int, unsigned int, MEMAssetType, char *, unsigned int)
01e86bf0	function	.text	SYSTEM_BuildMatrixUploadCallList__FP6QWdata15PS2_MATRIX_SLOTPC8MATRIX43b	SYSTEM_BuildMatrixUploadCallList(QWdata *, PS2_MATRIX_SLOT, MATRIX43 const *, bool)
01e86b38	function	.text	SYSTEM_BuildUploadVecs__FP6QWdataUiP4VEC4Ui	SYSTEM_BuildUploadVecs(QWdata *, unsigned int, VEC4 *, unsigned int)
01e95500	function	.text	VRAM_GetViewport__FPiN30	VRAM_GetViewport(int *, int *, int *, int *)
01e954c8	function	.text	VRAM_GetOffset__FPiT0	VRAM_GetOffset(int *, int *)
01e871e0	function	.text	SYSTEM_SetAlphaTestMode__FbUcUi	SYSTEM_SetAlphaTestMode(bool, unsigned char, unsigned int)
01e95218	function	.text	VRAM_RenderTo__FP12RenderTargetUi	VRAM_RenderTo(RenderTarget *, unsigned int)
01e87008	function	.text	SYSTEM_ActivateMicrocode__F13PS2_MICROCODE	SYSTEM_ActivateMicrocode(PS2_MICROCODE)
01ef7460	data	.data	scissor_giftag_textured_unfogged	scissor_giftag_textured_unfogged
01e7cf48	function	.text	PAR_UnitDestroy__FPv	PAR_UnitDestroy(void *)
01e7cd10	function	.text	PAR_ClearGroup__FP9PAR_Group	PAR_ClearGroup(PAR_Group *)
01ef2abc	data	.data	g_TexturesLoaded	g_TexturesLoaded
01e7dcc8	function	.text	_GLOBAL_$I$ENGINE_particle.cppazdaaa	global constructors keyed to ENGINE_particle.cppazdaaa
01e8edc8	function	.text	WAD_FindAssetsByType__F14WAD_ASSET_TYPEP10WAD_HEADER	WAD_FindAssetsByType(WAD_ASSET_TYPE, WAD_HEADER *)
01ef79ac	data	.data	g_pLevelWadData	g_pLevelWadData
01ef2ad0	data	.data	GreyTexture_Size	GreyTexture_Size
01ef2ae0	data	.data	GreyTexture_Data	GreyTexture_Data
01ef2d44	data	.data	g_TEXMGR_DefaultTexture	g_TEXMGR_DefaultTexture
01ef2d48	data	.data	g_TEXMGR_GreyTexture	g_TEXMGR_GreyTexture
01ef2d54	data	.data	g_bDoubleTextures	g_bDoubleTextures
01ef2d58	data	.data	g_TEXMGR_NextTexture	g_TEXMGR_NextTexture
01f69ef8	data	.bss	g_Textures	g_Textures
