address	kind	section	name	demangled
01e8ea00	function	.text	readTexPSMCT16__FiiiiiiPv	readTexPSMCT16(int, int, int, int, int, int, void *)
01ef5714	data	.data	g_bInFrame	g_bInFrame
01ea4128	function	.text	scePadSetMainMode	scePadSetMainMode
01f77970	data	.bss	gMatrixStack	gMatrixStack
01e9be78	function	.text	sceGsSyncPath	sceGsSyncPath
01ef104c	data	.data	g_RENDEREFFECT_COLORMUL_Enable	g_RENDEREFFECT_COLORMUL_Enable
01ec38c8	function	.text	sceCdReadClock	sceCdReadClock
01ef1030	data	.data	g_PaletteMemory	g_PaletteMemory
01f01bc0	data	.data	smesh_vu_renderer	smesh_vu_renderer
01e92900	function	.text	SND_PauseAtracResetLockId__Fv	SND_PauseAtracResetLockId(void)
01e8ebf0	function	.text	writeTexPSMT8__FiiiiiiPv	writeTexPSMT8(int, int, int, int, int, int, void *)
01f034c0	data	.data	staticmesh_vu_renderer_scissoring	staticmesh_vu_renderer_scissoring
01f07bd0	data	.data	tie_vu_renderer_clip_normalize	tie_vu_renderer_clip_normalize
01e8ff08	function	.text	GLOBALWAD_GetTransitionBankIndex__FP15WAD_FILE_HEADER	GLOBALWAD_GetTransitionBankIndex(WAD_FILE_HEADER *)
01ef1058	data	.data	g_RENDEREFFECT_SWIRLY_Active	g_RENDEREFFECT_SWIRLY_Active
01ef69dc	data	.data	g_AspectRatioMult	g_AspectRatioMult
01e917b8	function	.text	SND_GetGlobalMusicVolume__Fv	SND_GetGlobalMusicVolume(void)
01e9ce10	function	.text	sceDmaReset	sceDmaReset
01ec8450	function	.text	free	free
01ec62f4	function	.text	memset	memset
01f06760	data	.data	shrub_vu_renderer_fast	shrub_vu_renderer_fast
01ea3710	function	.text	scePadInit	scePadInit
01e9daf8	function	.text	asinf	asinf
01e81d58	function	.text	StoreMatrix__Q34scee3Psp3GumP14ScePspFMatrix4	scee::Psp::Gum::StoreMatrix(ScePspFMatrix4 *)
01e92278	function	.text	SND_UpdateATRAC__Fv	SND_UpdateATRAC(void)
01e917f8	function	.text	SND_SetOutputMode__Fi	SND_SetOutputMode(int)
01ec7328	function	.text	snprintf	snprintf
01ec6060	function	.text	sceScfGetLocalTimefromRTC	sceScfGetLocalTimefromRTC
01ec667c	function	.text	strcmp	strcmp
01e87080	function	.text	LIGHT_Reset__Fv	LIGHT_Reset(void)
01e81210	function	.text	RENDEREFFECT_DisableScreenEffects__Fv	RENDEREFFECT_DisableScreenEffects(void)
01e91708	function	.text	SND_UnlockPositionalArray__Fv	SND_UnlockPositionalArray(void)
01e93d58	function	.text	dlib_displist_direct_begin__FP13DLIB_DISPLIST	dlib_displist_direct_begin(DLIB_DISPLIST *)
01e64f30	function	.text	MCPI_SendNewLevel__Fi	MCPI_SendNewLevel(int)
01e93f68	function	.text	dlib_displist_base_offset_mscal__FP13DLIB_DISPLISTiii	dlib_displist_base_offset_mscal(DLIB_DISPLIST *, int, int, int)
01f05220	data	.data	PAR_vu_renderer_scissoring	PAR_vu_renderer_scissoring
01ef0d81	data	.data	g_DRAW_Do2D	g_DRAW_Do2D
01e628d0	function	.text	MEMCARD_SetHeaderDetail__FUiUiUiUiUi	MEMCARD_SetHeaderDetail(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
01e92820	function	.text	SND_FadeATRACInstance__FP13ATRACInstanceff	SND_FadeATRACInstance(ATRACInstance *, float, float)
01e8fe18	function	.text	GLOBALWAD_UploadTransitionBank__Fv	GLOBALWAD_UploadTransitionBank(void)
01f05100	data	.data	PAR_throughmode_vu_code_microcode	PAR_throughmode_vu_code_microcode
01e93a68	function	.text	dlib_displist_db_init__FP16DLIB_DISPLIST_DBi	dlib_displist_db_init(DLIB_DISPLIST_DB *, int)
01ec73d0	function	.text	sprintf	sprintf
01e9d770	function	.text	sinf	sinf
01f06210	data	.data	shrub_vu_renderer	shrub_vu_renderer
01f08fd0	data	.data	tie_vu_renderer_scissoring_shadow	tie_vu_renderer_scissoring_shadow
01e91740	function	.text	SND_GetNumPositionalSounds__Fv	SND_GetNumPositionalSounds(void)
01e93ce0	function	.text	dlib_displist_db_send_dma__FP16DLIB_DISPLIST_DB	dlib_displist_db_send_dma(DLIB_DISPLIST_DB *)
01ec8878	function	.text	qsort	qsort
01f08100	data	.data	tie_vu_renderer_scissoring	tie_vu_renderer_scissoring
01e915a0	function	.text	SND_StopSoundsImmediate__Fb	SND_StopSoundsImmediate(bool)
01e94d90	function	.text	snd_UnloadBank	snd_UnloadBank
01fd1890	data	.bss	g_snd	g_snd
01e94128	function	.text	dlib_displist_set_tex_clamp__FP13DLIB_DISPLISTbT1	dlib_displist_set_tex_clamp(DLIB_DISPLIST *, bool, bool)
01e7d200	function	.text	RENDEREFFECT_Init__Fv	RENDEREFFECT_Init(void)
01ef57b4	data	.data	g_PS2_VSYNC_COUNT	g_PS2_VSYNC_COUNT
01ef0d80	data	.data	g_bDoDraw	g_bDoDraw
01e8f0f0	function	.text	MBOX_Receive__FiPP12HigMsgPacketPUi	MBOX_Receive(int, HigMsgPacket **, unsigned int *)
01f07700	data	.data	tie_vu_renderer_clip	tie_vu_renderer_clip
01e81a68	function	.text	SetMirroring__Q34scee3Psp3Gumb	scee::Psp::Gum::SetMirroring(bool)
01e919c8	function	.text	SND_ConstructPositionalSound__FP14SND_PositionalP9GDE_SoundPP14SND_PositionalPC4VEC3bT4ffffffUc	SND_ConstructPositionalSound(SND_Positional *, GDE_Sound *, SND_Positional **, VEC3 const *, bool, bool, float, float, float, float, float, float, unsigned char)
01e914d0	function	.text	SND_PauseSoundsImmediate__Fv	SND_PauseSoundsImmediate(void)
01e87048	function	.text	LIGHT_BeginFrame__Fv	LIGHT_BeginFrame(void)
01e92478	function	.text	SND_IsATRACPlaying__FP13ATRACInstance	SND_IsATRACPlaying(ATRACInstance *)
01ea61d0	function	.text	BinkDoFrame	BinkDoFrame
01ef0d8c	data	.data	g_par_hackUpdateOnlyRun	g_par_hackUpdateOnlyRun
01ef0d82	data	.data	g_DRAW_Do3D	g_DRAW_Do3D
01e62848	function	.text	MEMCARD_SetHardcoreModeBit__FUib	MEMCARD_SetHardcoreModeBit(unsigned int, bool)
01e9d9f8	function	.text	acosf	acosf
01ef5720	data	.data	g_bProgressive	g_bProgressive
01e94010	function	.text	dlib_displist_set_texture_state__FP13DLIB_DISPLISTiUlUlUlUl	dlib_displist_set_texture_state(DLIB_DISPLIST *, int, unsigned long, unsigned long, unsigned long, unsigned long)
01e9dfd8	function	.text	logf	logf
01ebd900	function	.text	asyncPs2fioOpen	asyncPs2fioOpen
01ef69ac	data	.data	g_vo_vol_range	g_vo_vol_range
01e9cde8	function	.text	sceDmaGetChan	sceDmaGetChan
01edda98	data	.data	MCP_WideScreenMaster	MCP_WideScreenMaster
01ebd9f0	function	.text	asyncPs2fioLseek	asyncPs2fioLseek
01ed9a30	function	.text	GetTimerSystemTime	GetTimerSystemTime
01e62898	function	.text	MEMCARD_SetWriteHeaderOnlyMode__Fb	MEMCARD_SetWriteHeaderOnlyMode(bool)
01e62838	function	.text	MEMCARD_GetWideScreenFromMemcard__Fv	MEMCARD_GetWideScreenFromMemcard(void)
01e91720	function	.text	SND_LockPositionalArray__Fv	SND_LockPositionalArray(void)
01e91d48	function	.text	SND_PausePositionalSounds__Fb	SND_PausePositionalSounds(bool)
01e94318	function	.text	dlib_displist_add_ref__FP13DLIB_DISPLISTP6QWdatai	dlib_displist_add_ref(DLIB_DISPLIST *, QWdata *, int)
01e92018	function	.text	SND_FixupSoundSignatures__FPUiPvPFP13WadLocationIDUi14WAD_ASSET_TYPE13WadLocationID_P15WAD_FILE_HEADER	SND_FixupSoundSignatures(unsigned int *, void *, WAD_FILE_HEADER *(*)(WadLocationID *, unsigned int, WAD_ASSET_TYPE, WadLocationID))
01e8a1d0	function	.text	ANIM_GetBufferUsedSize__Fv	ANIM_GetBufferUsedSize(void)
01ec614c	function	.text	memcpy	memcpy
01ea5b40	function	.text	BinkCopyToBufferRect	BinkCopyToBufferRect
01e941e8	function	.text	dlib_displist_add_data_block__FP13DLIB_DISPLISTP6QWdatai	dlib_displist_add_data_block(DLIB_DISPLIST *, QWdata *, int)
01e9c498	function	.text	sceGsSyncV	sceGsSyncV
01ef103c	data	.data	g_TEXMGR_LastTex	g_TEXMGR_LastTex
01e92838	function	.text	SND_FadeAndStopATRACInstance__FP13ATRACInstanceff	SND_FadeAndStopATRACInstance(ATRACInstance *, float, float)
01e8fbe8	function	.text	PS2HEAP_Free__FPv	PS2HEAP_Free(void *)
01f09f40	data	.data	DEFORM_vu_renderer_scissoring	DEFORM_vu_renderer_scissoring
01ea39a0	function	.text	scePadEnd	scePadEnd
01ed0af0	function	.text	ChangeThreadPriority	ChangeThreadPriority
01e9d5a0	function	.text	cosf	cosf
01e917c8	function	.text	SND_SetVOVolume__Ff	SND_SetVOVolume(float)
01e8fe80	function	.text	GLOBALWAD_ReleaseTransitionBank__Fv	GLOBALWAD_ReleaseTransitionBank(void)
01f7e2a0	data	.bss	g_JointMatrixBuffers	g_JointMatrixBuffers
01ef1056	data	.data	g_RENDEREFFECT_BLOOM_bFullScreen	g_RENDEREFFECT_BLOOM_bFullScreen
01e938d8	function	.text	dlib_ms_screen_matrix__FPfiiiiii	dlib_ms_screen_matrix(float *, int, int, int, int, int, int)
01e95a78	function	.text	snd_StreamSafeCheckCDIdle_CB	snd_StreamSafeCheckCDIdle_CB
01eca400	function	.text	strcasecmp	strcasecmp
01ef1050	data	.data	g_RENDEREFFECT_COLORMUL_Color	g_RENDEREFFECT_COLORMUL_Color
01ebbc00	function	.text	ps2fioLseek	ps2fioLseek
01f04f70	data	.data	throughmode_vu_code_microcode	throughmode_vu_code_microcode
